name,total_points_last_season,total_mins_last_season,season
Taylor Harwood-Bellis,0,0,2020-21
Cole Palmer,0,0,2020-21
Tommy Doyle,1,15,2020-21
Aaron Wan-Bissaka,127,3070,2020-21
Harry Maguire,123,3420,2020-21
Chris Smalling,0,0,2020-21
Ashley Young,24,953,2020-21
Victor Lindelöf,116,3092,2020-21
Luke Shaw,67,1730,2020-21
Marcos Rojo,3,121,2020-21
Eric Bailly,9,148,2020-21
José Diogo Dalot Teixeira,4,65,2020-21
Matteo Darmian,0,0,2020-21
Phil Jones,2,135,2020-21
Romelu Lukaku,0,0,2020-21
Marcus Rashford,177,2645,2020-21
Mason Greenwood,103,1303,2020-21
David de Gea,143,3420,2020-21
Sergio Romero,0,0,2020-21
Lee Grant,0,0,2020-21
Paul Pogba,51,1202,2020-21
Anthony Martial,200,2625,2020-21
Alexis Sánchez,0,0,2020-21
Jesse Lingard,32,923,2020-21
Juan Mata,38,747,2020-21
Daniel James,95,2281,2020-21
Frederico Rodrigues de Paula Santos,50,2157,2020-21
Angel Gomes,2,19,2020-21
Andreas Pereira,60,1478,2020-21
Nemanja Matic,55,1578,2020-21
Scott McTominay,74,1765,2020-21
Tahith Chong,3,34,2020-21
James Garner,1,8,2020-21
Axel Tuanzebe,7,187,2020-21
Brandon Williams,51,1003,2020-21
Bruno Miguel Borges Fernandes,117,1187,2020-21
Odion Ighalo,11,92,2020-21
Timothy Fosu-Mensah,7,136,2020-21
Matt Ritchie,74,1312,2020-21
Fabian Schär,55,1669,2020-21
DeAndre Yedlin,26,934,2020-21
Federico Fernández,102,2617,2020-21
Paul Dummett,44,1227,2020-21
Javier Manquillo,65,1597,2020-21
Florian Lejeune,24,440,2020-21
Jamaal Lascelles,73,2076,2020-21
Ciaran Clark,49,1186,2020-21
Yoshinori Muto,9,207,2020-21
Jose Luis Mato Sanmartín,0,0,2020-21
Martin Dubravka,143,3420,2020-21
Karl Darlow,0,0,2020-21
Frederick Woodman,0,0,2020-21
Miguel Almirón,109,3020,2020-21
Christian Atsu,37,738,2020-21
Sung-yueng Ki,4,135,2020-21
Jonjo Shelvey,105,2118,2020-21
Sean Longstaff,44,1370,2020-21
Isaac Hayden,73,2220,2020-21
Danny Rose,47,1753,2020-21
Joelinton Cássio Apolinário de Lira,78,2678,2020-21
Jack Colback,0,0,2020-21
Jacob Murphy,0,0,2020-21
Jetro Willems,64,1492,2020-21
Rolando Aarons,0,0,2020-21
Allan Saint-Maximin,92,1860,2020-21
Emil Krafth,37,1015,2020-21
Andy Carroll,34,617,2020-21
Matthew Longstaff,27,572,2020-21
Dwight Gayle,58,842,2020-21
Robert Elliot,0,0,2020-21
Thomas Allan,0,0,2020-21
Kelland Watts,1,16,2020-21
Liam Gibson,0,0,2020-21
Nabil Bentaleb,19,747,2020-21
Valentino Lazaro,19,472,2020-21
Jack Young,0,0,2020-21
Timm Klose,9,585,2020-21
Ben Godfrey,38,2644,2020-21
Maximillian Aarons,66,3240,2020-21
Christoph Zimmermann,35,1430,2020-21
Jamal Lewis,48,2301,2020-21
Grant Hanley,23,1261,2020-21
Teemu Pukki,139,2884,2020-21
Dennis Srbeny,13,41,2020-21
Tim Krul,109,3240,2020-21
Michael McGovern,11,158,2020-21
Mario Vrancic,29,624,2020-21
Emiliano Buendía,94,2458,2020-21
Onel Hernández,52,1374,2020-21
Marco Stiepermann,32,1173,2020-21
Kenny McLean,77,2965,2020-21
Todd Cantwell,111,2484,2020-21
Moritz Leitner,16,683,2020-21
Alexander Tettey,67,2339,2020-21
Tom Trybull,28,1128,2020-21
Josip Drmic,26,636,2020-21
Patrick Roberts,3,24,2020-21
Ralf Fahrmann,1,21,2020-21
Sam Byram,32,1292,2020-21
Philip Heise,0,0,2020-21
Ibrahim Amadou,18,756,2020-21
Adam Idah,13,219,2020-21
Archie Mair,0,0,2020-21
Akin Famewo,1,1,2020-21
Ondrej Duda,24,723,2020-21
Lukas Rupp,19,692,2020-21
Josh Martin,5,32,2020-21
Jordan Thomas,1,1,2020-21
Daniel Adshead,0,0,2020-21
Lys Mousset,84,1223,2020-21
Enda Stevens,142,3345,2020-21
Kieron Freeman,2,6,2020-21
Jack O'Connell,111,2915,2020-21
George Baldock,142,3420,2020-21
John Egan,133,3187,2020-21
Richard Stearman,0,0,2020-21
John Lundstram,144,2452,2020-21
Billy Sharp,57,1037,2020-21
Jake Eastwood,0,0,2020-21
Mark Duffy,0,0,2020-21
John Fleck,101,2515,2020-21
Oliver Norwood,98,3089,2020-21
David McGoldrick,65,1810,2020-21
Chris Basham,123,3242,2020-21
Simon Moore,3,180,2020-21
Luke Freeman,13,360,2020-21
Phil Jagielka,6,240,2020-21
Callum Robinson,33,669,2020-21
Ravel Morrison,1,12,2020-21
Dean Henderson,160,3240,2020-21
Ben Osborn,19,590,2020-21
Oliver McBurnie,86,2105,2020-21
Michael Verrips,0,0,2020-21
Muhamed Bešić,9,243,2020-21
Leon Clarke,2,33,2020-21
Jack Rodwell,1,15,2020-21
Jack Robinson,14,504,2020-21
Sander Berge,40,943,2020-21
Richairo Zivkovic,5,107,2020-21
Panagiotis Retsos,0,0,2020-21
Jannik Vestergaard,51,1496,2020-21
Ryan Bertrand,75,2742,2020-21
Yan Valery,18,778,2020-21
Jan Bednarek,84,3057,2020-21
Jack Stephens,85,2451,2020-21
Maya Yoshida,10,558,2020-21
Kayne Ramsay,0,0,2020-21
Charlie Austin,0,0,2020-21
Danny Ings,198,2800,2020-21
Michael Obafemi,45,655,2020-21
Shane Long,62,1386,2020-21
Sam Gallagher,0,0,2020-21
Fraser Forster,0,0,2020-21
Alex McCarthy,104,2520,2020-21
Angus Gunn,29,900,2020-21
Nathan Redmond,107,2763,2020-21
James Ward-Prowse,117,3420,2020-21
Mohamed Elyounoussi,0,0,2020-21
Stuart Armstrong,98,1706,2020-21
Mario Lemina,0,0,2020-21
Pierre-Emile Højbjerg,75,2750,2020-21
Tyreke Johnson,0,0,2020-21
Callum Slattery,0,0,2020-21
Oriol Romeu Vidal,51,1855,2020-21
Kyle Walker-Peters,32,944,2020-21
Che Adams,78,1095,2020-21
Moussa Djenepo,40,920,2020-21
Wesley Hoedt,0,0,2020-21
Sofiane Boufal,34,753,2020-21
Kevin Danso,9,275,2020-21
Daniel N'Lundulu,0,0,2020-21
Harry Lewis,0,0,2020-21
William Smallbone,24,389,2020-21
Nathan Tella,1,2,2020-21
Jake Vokins,2,90,2020-21
Alexandre Jankewitz,0,0,2020-21
Will Ferry,0,0,2020-21
Jacob Maddox,0,0,2020-21
Ben Davies,41,1430,2020-21
Jan Vertonghen,62,1644,2020-21
Toby Alderweireld,97,2957,2020-21
Davinson Sánchez,64,2431,2020-21
Kieran Trippier,0,0,2020-21
Juan Foyth,3,66,2020-21
Serge Aurier,124,2699,2020-21
Harry Kane,158,2588,2020-21
Vincent Janssen,0,0,2020-21
Hugo Lloris,98,1808,2020-21
Paulo Gazzaniga,58,1612,2020-21
Heung-Min Son,169,2478,2020-21
Christian Eriksen,48,1090,2020-21
Bamidele Alli,117,1845,2020-21
Lucas Rodrigues Moura da Silva,100,2235,2020-21
Erik Lamela,65,1203,2020-21
Harry Winks,52,2223,2020-21
Victor Wanyama,1,24,2020-21
Moussa Sissoko,69,2451,2020-21
Eric Dier,36,1340,2020-21
Luke Amos,0,0,2020-21
Oliver Skipp,7,74,2020-21
Tanguy Ndombele,45,1002,2020-21
Troy Parrott,2,6,2020-21
Giovani Lo Celso,54,1482,2020-21
Ryan Sessegnon,9,341,2020-21
Georges-Kévin Nkoudou,1,2,2020-21
Alfie Whiteman,0,0,2020-21
Michel Vorm,0,0,2020-21
Brandon Austin,0,0,2020-21
Japhet Tanganga,17,525,2020-21
Gedson Carvalho Fernandes,7,62,2020-21
Steven Bergwijn,43,699,2020-21
Harvey White,0,0,2020-21
Dennis Cirkin,0,0,2020-21
José Holebas,21,1022,2020-21
Christian Kabasele,73,2250,2020-21
Adam Masina,66,1815,2020-21
Adrian Mariappa,26,1509,2020-21
Francisco Femenía Far,54,2236,2020-21
Craig Cathcart,77,2488,2020-21
Daryl Janmaat,36,606,2020-21
Marc Navarro,0,0,2020-21
Sebastian Prödl,1,56,2020-21
Troy Deeney,109,2224,2020-21
Gerard Deulofeu,88,2097,2020-21
Andre Gray,39,741,2020-21
Isaac Success Ajayi,4,65,2020-21
Ben Foster,137,3420,2020-21
Pontus Dahlberg,0,0,2020-21
Abdoulaye Doucouré,113,3156,2020-21
Roberto Pereyra,60,1641,2020-21
Will Hughes,62,2249,2020-21
Tom Cleverley,33,964,2020-21
Ken Sema,0,0,2020-21
Etienne Capoue,78,2627,2020-21
Nathaniel Chalobah,36,919,2020-21
Domingos Quina,4,18,2020-21
Craig Dawson,61,2359,2020-21
Danny Welbeck,39,813,2020-21
Heurelho da Silva Gomes,0,0,2020-21
Ismaïla Sarr,107,2023,2020-21
Dimitri Foulquier,1,57,2020-21
Ayotomiwa Dele-Bashiru,0,0,2020-21
João Pedro Junqueira de Jesus,3,22,2020-21
Ignacio Pussetto,6,67,2020-21
Adalberto Peñaranda,0,0,2020-21
Aaron Cresswell,79,2727,2020-21
Angelo Ogbonna,81,2786,2020-21
Arthur Masuaku,26,930,2020-21
Pablo Zabaleta,10,588,2020-21
Ryan Fredericks,74,2235,2020-21
Issa Diop,76,2765,2020-21
Fabián Balbuena,40,1176,2020-21
Winston Reid,0,0,2020-21
Ben Johnson,6,270,2020-21
Marko Arnautovic,0,0,2020-21
Javier Hernández Balcázar,9,106,2020-21
Alexandre Nascimento Costa Silva,0,0,2020-21
Lukasz Fabianski,83,2117,2020-21
Michail Antonio,111,1767,2020-21
Felipe Anderson Pereira Gomes,66,1493,2020-21
Manuel Lanzini,50,1370,2020-21
Andriy Yarmolenko,70,981,2020-21
Robert Snodgrass,87,1504,2020-21
Jack Wilshere,8,209,2020-21
Declan Rice,105,3420,2020-21
Mark Noble,105,2675,2020-21
Carlos Sánchez,7,112,2020-21
Grady Diangana,0,0,2020-21
Pablo Fornals,93,2167,2020-21
Pedro Obiang,0,0,2020-21
Roberto Jimenez Gago,18,686,2020-21
Sébastien Haller,102,2259,2020-21
Albian Ajeti,9,132,2020-21
David Martin,20,435,2020-21
Nathan Holland,2,31,2020-21
Joseph Anang,0,0,2020-21
Jeremy Ngakia,8,440,2020-21
Gonçalo Bento Soares Cardoso,0,0,2020-21
Bernardo Costa Da Rosa,0,0,2020-21
Darren Randolph,3,180,2020-21
Tomas Soucek,41,1039,2020-21
Jarrod Bowen,44,916,2020-21
Alfie Lewis,0,0,2020-21
Conor Coventry,0,0,2020-21
Matt Doherty,167,2836,2020-21
Jonathan Castro Otto,123,2885,2020-21
Conor Coady,118,3420,2020-21
Willy Boly,97,1980,2020-21
Rúben Gonçalo Silva Nascimento Vinagre,32,644,2020-21
Romain Saïss,103,2703,2020-21
Max Kilman,5,184,2020-21
Raúl Jiménez,194,3241,2020-21
Diogo Jota,105,2278,2020-21
Rui Pedro dos Santos Patrício,153,3420,2020-21
John Ruddy,0,0,2020-21
Will Norris,0,0,2020-21
Rúben Diogo da Silva Neves,97,3053,2020-21
João Filipe Iria Santos Moutinho,113,3105,2020-21
Morgan Gibbs-White,11,125,2020-21
Adama Traoré,130,2599,2020-21
Hélder Costa,0,0,2020-21
Ivan Cavaleiro,0,0,2020-21
Leander Dendoncker,100,2790,2020-21
Jesús Vallejo Lázaro,1,162,2020-21
Patrick Cutrone,23,292,2020-21
Pedro Lomba Neto,57,920,2020-21
Bernard Ashley-Seal,0,0,2020-21
Taylor Perry,0,0,2020-21
Owen Otasowie,0,0,2020-21
Luke Cundle,0,0,2020-21
Oskar Buur,0,0,2020-21
Ryan Giles,0,0,2020-21
Bruno André Cavaco Jordao,1,6,2020-21
Daniel Castelo Podence,25,285,2020-21
Leonardo Campana,0,0,2020-21
